family,gmc_on_method,gmc_off_method,gmc_on_MOTA,gmc_off_MOTA,MOTA_delta_on_minus_off,gmc_on_IDF1,gmc_off_IDF1,IDF1_delta_on_minus_off,gmc_on_IDS,gmc_off_IDS,IDS_delta_off_minus_on,gmc_on_FP,gmc_off_FP,gmc_on_FN,gmc_off_FN,gmc_on_FPS,gmc_off_FPS
rtdetr_botsort_conf055,rtdetr_botsort_conf055_gmc_on,rtdetr_botsort_conf055_gmc_off,0.2142312183729077,0.20610354223433247,0.008127676138575235,0.4363864229765013,0.3914881921393687,0.044898230837132624,102,294,192.0,8832,8421,41532,42273,4.1975867571186,4.223243394527838
yolo26_botsort,yolo26_botsort_gmc_on,yolo26_botsort_gmc_off,0.17958738808875052,0.17111716621253403,0.008470221876216488,0.3703003074012769,0.33244176211050913,0.037858545290767764,176,323,147.0,6437,5974,46078,46938,38.97918337807994,53.96834416667575
