method,sequence_name,class_id,class_name,iou_threshold,gt_boxes,predicted_boxes,true_positives,false_positives,false_negatives,precision,recall,AP50,ap50_definition,runtime_seconds,FPS
m3_rtdetr_botsort_conf055,uav0000117_02622_v,all,all,0.5,12290,5766,4030,1736,8260,0.6989247311827957,0.3279088689991863,0.28621603827175046,all-point interpolated precision envelope,84.81895757911843,4.114646182422788
m3_rtdetr_botsort_conf055,uav0000137_00458_v,1,pedestrian,0.5,3792,1965,838,1127,2954,0.4264631043256997,0.2209915611814346,0.16337494368806232,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000137_00458_v,4,car,0.5,6574,3966,3846,120,2728,0.9697428139183056,0.5850319440219045,0.5786660048017271,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000137_00458_v,all,all,0.5,10366,5931,4684,1247,5682,0.7897487776091722,0.45186185606791435,0.43478527107844783,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000182_00000_v,1,pedestrian,0.5,845,1354,184,1170,661,0.1358936484490399,0.21775147928994082,0.046627885779191275,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
m3_rtdetr_botsort_conf055,uav0000182_00000_v,4,car,0.5,5848,3661,2329,1332,3519,0.6361649822452882,0.39825581395348836,0.2972653396536372,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
m3_rtdetr_botsort_conf055,uav0000182_00000_v,all,all,0.5,6693,5015,2513,2502,4180,0.5010967098703888,0.37546690572239655,0.26140092639950085,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
m3_rtdetr_botsort_conf055,uav0000268_05773_v,1,pedestrian,0.5,891,0,0,0,891,0.0,0.0,0.0,all-point interpolated precision envelope,231.99559698007943,4.215597247235589
m3_rtdetr_botsort_conf055,uav0000268_05773_v,4,car,0.5,8688,3787,2078,1709,6610,0.5487193028782678,0.2391804788213628,0.18351524431404231,all-point interpolated precision envelope,231.99559698007943,4.215597247235589
m3_rtdetr_botsort_conf055,uav0000268_05773_v,all,all,0.5,9579,3787,2078,1709,7501,0.5487193028782678,0.21693287399519784,0.16644539540666037,all-point interpolated precision envelope,231.99559698007943,4.215597247235589
m3_rtdetr_botsort_conf055,uav0000305_00000_v,1,pedestrian,0.5,540,8,0,8,540,0.0,0.0,0.0,all-point interpolated precision envelope,45.91298236498551,4.007581091929315
m3_rtdetr_botsort_conf055,uav0000305_00000_v,4,car,0.5,3618,1277,1136,141,2482,0.889584964761159,0.31398562741846325,0.2982925854334514,all-point interpolated precision envelope,45.91298236498551,4.007581091929315
m3_rtdetr_botsort_conf055,uav0000305_00000_v,all,all,0.5,4158,1285,1136,149,3022,0.8840466926070039,0.27320827320827323,0.2592335179156308,all-point interpolated precision envelope,45.91298236498551,4.007581091929315
m3_rtdetr_botsort_conf055,uav0000339_00001_v,1,pedestrian,0.5,3273,2232,1421,811,1852,0.6366487455197133,0.43415826458906204,0.3229460909680938,all-point interpolated precision envelope,69.24346894983319,3.9714936898848494
m3_rtdetr_botsort_conf055,uav0000339_00001_v,4,car,0.5,2967,3023,2199,824,768,0.727423089646047,0.7411526794742164,0.6694671329589802,all-point interpolated precision envelope,69.24346894983319,3.9714936898848494
m3_rtdetr_botsort_conf055,uav0000339_00001_v,all,all,0.5,6240,5255,3620,1635,2620,0.6888677450047573,0.5801282051282052,0.4952069457294731,all-point interpolated precision envelope,69.24346894983319,3.9714936898848494
