stage,phase,experiment_id,source_config_path,method,MOTA,IDF1,IDS,FP,FN,FPS,MOTP,IDP,IDR,num_frames,runtime_seconds,screening_rank,promotion_rank,selected
tune_m3,promoted,m3_rtdetr_botsort_conf055,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf055.yaml,m3_rtdetr_botsort_conf055,0.2142312183729077,0.4363864229765013,102,8832,41532,4.625592264164066,0.1985267279136491,0.6627121332275971,0.32529388867263526,2846,615.2725613212533,2,1,True
tune_m3,promoted,m3_rtdetr_botsort_conf055_strict_new,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf055_strict_new.yaml,m3_rtdetr_botsort_conf055_strict_new,0.21357726741922922,0.4296293125588563,70,7718,42720,4.600331986460216,0.1950055190754109,0.6869246826130103,0.3125574153367069,2846,618.6510035311367,1,2,False
tune_m3,screen,m3_rtdetr_botsort_conf035,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf035.yaml,m3_rtdetr_botsort_conf035,0.031730237700386965,0.48407710035617013,46,4857,3855,4.54534300942089,0.2543109009355292,0.4599382900368269,0.510889994472084,300,66.0016195429489,5,,False
tune_m3,screen,m3_rtdetr_botsort_conf045,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf045.yaml,m3_rtdetr_botsort_conf045,0.17678275290215584,0.4758171587532402,41,2566,4839,4.538649614477451,0.24481247943914825,0.5556704075605434,0.4160309563294638,300,66.0989557429275,4,,False
tune_m3,screen,m3_rtdetr_botsort_conf045_strict_new,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf045_strict_new.yaml,m3_rtdetr_botsort_conf045_strict_new,0.18717523493642896,0.47304210940574576,30,2239,5083,4.554123129008952,0.23888894839990482,0.5815191098209966,0.39867330016583746,300,65.8743717509642,3,,False
tune_m3,screen,m3_rtdetr_botsort_conf055,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf055.yaml,m3_rtdetr_botsort_conf055,0.20530679933665008,0.4378204189248572,24,1364,5800,4.548870858651658,0.22551094601091948,0.6485137773920591,0.3304588170259812,300,65.95043238684593,2,1,True
tune_m3,screen,m3_rtdetr_botsort_conf055_strict_new,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf055_strict_new.yaml,m3_rtdetr_botsort_conf055_strict_new,0.20718629076838035,0.43237550774785616,19,1178,5974,4.5255125489842385,0.22045583252256984,0.6763944457519416,0.3177446102819237,300,66.29083374596667,1,2,False
tune_m3,screen,m3_rtdetr_botsort_smoke,/Users/katharsis/Developer/cv/mot/configs/m3_rtdetr_botsort_smoke.yaml,m3_rtdetr_botsort_smoke,-0.23792150359314546,0.45583520007027717,56,7909,3232,4.510938012564865,0.26030495034586465,0.3781518729048244,0.5736871199557767,300,66.50501495794742,6,,False
