comparison_label,method,MOTA,IDF1,IDS,FP,FN,FPS,source_stage,source_experiment_id,source_config_path,MOTP,IDP,IDR,num_frames,runtime_seconds
m1_baseline,m1_yolo11_sort_smoke,0.1371895679252627,0.33574196466198647,515,11869,43030,40.27507750069532,full_baseline_m1_m2_m3,m1_yolo11_sort_smoke,/Users/katharsis/Developer/cv/mot/configs/m1_yolo11_sort_smoke.yaml,0.23031752424764104,0.49395112509073313,0.25429349941611523,2846,70.66404775883711
m2_best,m2_yolo26_bytetrack_smoke,0.16946671856753603,0.3409278893149861,384,8800,44157,56.54825682652509,tune_m2,m2_yolo26_bytetrack_smoke,/Users/katharsis/Developer/cv/mot/configs/m2_yolo26_bytetrack_smoke.yaml,0.220369493078012,0.5497090203685742,0.24708446866485015,2846,50.32869551984186
m3_best,m3_rtdetr_botsort_conf055,0.2142312183729077,0.4363864229765013,102,8832,41532,4.625592264164066,tune_m3,m3_rtdetr_botsort_conf055,/Users/katharsis/Developer/cv/mot/configs/overnight/m3_rtdetr_botsort_conf055.yaml,0.1985267279136491,0.6627121332275971,0.32529388867263526,2846,615.2725613212533
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,0.005543012845465212,0.37679975001802757,668,29780,33421,3.944010785084033,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,/Users/katharsis/Developer/cv/mot/configs/overnight/m4_sahi_m2_slice640_overlap020_strict.yaml,0.24475871943560726,0.38812227650864917,0.3661191124951343,2846,721.6004608210933
