comparison_label,method,sequence_name,MOTA,IDF1,IDS,FP,FN,FPS,source_stage,source_experiment_id,MOTP,IDP,IDR,num_frames,runtime_seconds,prediction_path
m2_best,m2_yolo26_bytetrack_smoke,uav0000182_00000_v,0.0014940983116689122,0.2615026797451714,40,1573,5070,61.58905265055749,tune_m2,m2_yolo26_bytetrack_smoke,0.25211371177647934,0.4045682102628285,0.1931869116987898,363,5.893904588199803,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m2/promoted/m2_yolo26_bytetrack_smoke/attempts/001/benchmark/runs/m2_yolo26_bytetrack_smoke/uav0000182_00000_v/tracks.txt
m2_best,m2_yolo26_bytetrack_smoke,uav0000268_05773_v,0.03131850923896018,0.20974738453687164,2,938,8339,53.93539475412431,tune_m2,m2_yolo26_bytetrack_smoke,0.18046433962316633,0.5661157024793388,0.12871907297212654,978,18.132805080196704,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m2/promoted/m2_yolo26_bytetrack_smoke/attempts/001/benchmark/runs/m2_yolo26_bytetrack_smoke/uav0000268_05773_v/tracks.txt
m2_best,m2_yolo26_bytetrack_smoke,uav0000305_00000_v,0.10125060125060126,0.18774110587226747,11,38,3688,62.58438024018872,tune_m2,m2_yolo26_bytetrack_smoke,0.17025400071064,0.8622047244094488,0.10533910533910534,184,2.9400307120376965,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m2/promoted/m2_yolo26_bytetrack_smoke/attempts/001/benchmark/runs/m2_yolo26_bytetrack_smoke/uav0000305_00000_v/tracks.txt
m2_best,m2_yolo26_bytetrack_smoke,uav0000339_00001_v,0.21842948717948718,0.3618342228515412,42,768,4067,60.502192867138355,tune_m2,m2_yolo26_bytetrack_smoke,0.1788828550577126,0.564773886433186,0.26618589743589743,275,4.54528979807219,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m2/promoted/m2_yolo26_bytetrack_smoke/attempts/001/benchmark/runs/m2_yolo26_bytetrack_smoke/uav0000339_00001_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000086_00000_v,0.2853211624941271,0.40487567040468064,22,669,9957,4.506380641291682,tune_m3,m3_rtdetr_botsort_conf055,0.2337044692326543,0.7399750490108715,0.2786764212363246,464,102.9651147859986,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000086_00000_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000117_02622_v,0.1888527257933279,0.39919082939986517,27,1579,8363,4.601481399866587,tune_m3,m3_rtdetr_botsort_conf055,0.22622726403175863,0.6451144206320377,0.2890154597233523,349,75.84513978696486,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000117_02622_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000137_00458_v,0.3372564152035501,0.5544701372573265,4,1154,5712,4.587170085146245,tune_m3,m3_rtdetr_botsort_conf055,0.13638924226684762,0.772038567493113,0.43256801080455337,233,50.7938436280092,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000137_00458_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000182_00000_v,0.031525474376214,0.4046029515108925,14,2233,4235,4.4792008867748105,tune_m3,m3_rtdetr_botsort_conf055,0.2355129500036449,0.4909400980601151,0.34409084117734945,363,81.04124132315337,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000182_00000_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000268_05773_v,0.04280196262657898,0.2795293407753809,5,1632,7532,4.799044193106702,tune_m3,m3_rtdetr_botsort_conf055,0.1817696688538812,0.5036694754009242,0.19344399206597765,978,203.79058009192522,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000268_05773_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000305_00000_v,0.22631072631072635,0.37980859448301746,18,106,3093,4.543591986455426,tune_m3,m3_rtdetr_botsort_conf055,0.13261912536449705,0.8642186165670367,0.24338624338624337,184,40.49659400503151,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000305_00000_v/tracks.txt
m3_best,m3_rtdetr_botsort_conf055,uav0000339_00001_v,0.34118589743589745,0.6258960969997345,12,1459,2640,4.557503854926895,tune_m3,m3_rtdetr_botsort_conf055,0.20412134401888699,0.6989523621269026,0.5666666666666667,275,60.340047700170544,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/tune_m3/promoted/m3_rtdetr_botsort_conf055/attempts/001/benchmark/runs/m3_rtdetr_botsort_conf055/uav0000339_00001_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000086_00000_v,0.23558628095845358,0.48643774347136054,75,4620,6694,11.562476824624445,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.2544169727052658,0.5257699805068227,0.4525807101147728,464,40.1298101641878,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000086_00000_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000117_02622_v,-0.1364524003254679,0.28120810661619744,303,7223,6441,3.7128944654309106,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.27218320010840846,0.272796817625459,0.2901545972335232,349,93.99674654084083,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000117_02622_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000137_00458_v,-0.18165155315454373,0.4333245808169849,146,9015,3088,4.473427948205491,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.21809929159042113,0.354508070950715,0.5572062512058653,233,52.08533650205936,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000137_00458_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000182_00000_v,-0.05513222770058279,0.32015098224242944,49,2642,4371,11.40621693547327,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.26683178812164426,0.3759065269943594,0.2787987449574182,363,31.824749788080226,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000182_00000_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000268_05773_v,-0.08518634512997192,0.2978983382209189,7,3799,6589,2.1708066328424183,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.264275620360968,0.3591103255265871,0.2545150850819501,978,450.5237754499685,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000268_05773_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000305_00000_v,0.056758056758056785,0.25861747717533073,13,480,3429,8.584708955501267,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.17017298807207834,0.5740281224152192,0.16690716690716692,184,21.433458135128603,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000305_00000_v/tracks.txt
m4_sahi_best,m4_sahi_m2_slice640_overlap020_strict,uav0000339_00001_v,0.2171474358974359,0.41655243317340646,75,2001,2809,8.700718745962037,sahi_m4_best_effort,m4_sahi_m2_slice640_overlap020_strict,0.2153618553238928,0.4475331369661267,0.38958333333333334,275,31.606584240827942,/Users/katharsis/Developer/cv/mot/outputs/overnight/20260607T073428Z/stages/sahi_m4_best_effort/promoted/m4_sahi_m2_slice640_overlap020_strict/attempts/001/benchmark/runs/m4_sahi_m2_slice640_overlap020_strict/uav0000339_00001_v/tracks.txt
