stage,phase,experiment_id,source_config_path,method,MOTA,IDF1,IDS,FP,FN,FPS,MOTP,IDP,IDR,num_frames,runtime_seconds
full_baseline_m1_m2_m3,runs,m1_yolo11_sort_smoke,/Users/katharsis/Developer/cv/mot/configs/m1_yolo11_sort_smoke.yaml,m1_yolo11_sort_smoke,0.1371895679252627,0.33574196466198647,515,11869,43030,40.27507750069532,0.23031752424764104,0.49395112509073313,0.25429349941611523,2846,70.66404775883711
full_baseline_m1_m2_m3,runs,m2_yolo26_bytetrack_smoke,/Users/katharsis/Developer/cv/mot/configs/m2_yolo26_bytetrack_smoke.yaml,m2_yolo26_bytetrack_smoke,0.16946671856753603,0.3409278893149861,384,8800,44157,47.34808900768414,0.220369493078012,0.5497090203685742,0.24708446866485015,2846,60.108022512547905
full_baseline_m1_m2_m3,runs,m3_rtdetr_botsort_smoke,/Users/katharsis/Developer/cv/mot/configs/m3_rtdetr_botsort_smoke.yaml,m3_rtdetr_botsort_smoke,-0.06519268197742312,0.47207956475032054,315,41966,26131,4.266562743459185,0.23393570706677985,0.4253934549088184,0.5302763721292332,2846,667.0474972770608
